Målepunkt id,Fra dato,Til dato,Mængde,Måleenhed
571313115103364037,19-08-2018 kl. 20,19-08-2018 kl. 21,0.074,kWh
571313115103364037,19-08-2018 kl. 19,19-08-2018 kl. 20,0.074,kWh
571313115103364037,19-08-2018 kl. 18,19-08-2018 kl. 19,0.099,kWh
571313115103364037,19-08-2018 kl. 17,19-08-2018 kl. 18,0.086,kWh
571313115103364037,19-08-2018 kl. 16,19-08-2018 kl. 17,0.237,kWh
571313115103364037,19-08-2018 kl. 15,19-08-2018 kl. 16,0.366,kWh
571313115103364037,19-08-2018 kl. 14,19-08-2018 kl. 15,0.294,kWh
571313115103364037,19-08-2018 kl. 13,19-08-2018 kl. 14,0.343,kWh
571313115103364037,19-08-2018 kl. 12,19-08-2018 kl. 13,0.084,kWh
571313115103364037,19-08-2018 kl. 11,19-08-2018 kl. 12,0.085,kWh
571313115103364037,19-08-2018 kl. 10,19-08-2018 kl. 11,0.085,kWh
571313115103364037,19-08-2018 kl. 09,19-08-2018 kl. 10,0.116,kWh
571313115103364037,19-08-2018 kl. 08,19-08-2018 kl. 09,0.095,kWh
571313115103364037,19-08-2018 kl. 07,19-08-2018 kl. 08,0.092,kWh
571313115103364037,19-08-2018 kl. 06,19-08-2018 kl. 07,0.095,kWh
571313115103364037,19-08-2018 kl. 05,19-08-2018 kl. 06,0.102,kWh
571313115103364037,19-08-2018 kl. 04,19-08-2018 kl. 05,0.103,kWh
571313115103364037,19-08-2018 kl. 03,19-08-2018 kl. 04,0.108,kWh
571313115103364037,19-08-2018 kl. 02,19-08-2018 kl. 03,0.325,kWh
571313115103364037,19-08-2018 kl. 01,19-08-2018 kl. 02,0.396,kWh
571313115103364037,19-08-2018 kl. 00,19-08-2018 kl. 01,0.426,kWh
571313115103364037,18-08-2018 kl. 23,19-08-2018 kl. 00,0.403,kWh
571313115103364037,18-08-2018 kl. 22,18-08-2018 kl. 23,0.283,kWh
571313115103364037,18-08-2018 kl. 21,18-08-2018 kl. 22,1.027,kWh
571313115103364037,18-08-2018 kl. 20,18-08-2018 kl. 21,0.788,kWh
571313115103364037,18-08-2018 kl. 19,18-08-2018 kl. 20,0.175,kWh
571313115103364037,18-08-2018 kl. 18,18-08-2018 kl. 19,0.22,kWh
571313115103364037,18-08-2018 kl. 17,18-08-2018 kl. 18,0.248,kWh
571313115103364037,18-08-2018 kl. 16,18-08-2018 kl. 17,0.196,kWh
571313115103364037,18-08-2018 kl. 15,18-08-2018 kl. 16,0.19,kWh
571313115103364037,18-08-2018 kl. 14,18-08-2018 kl. 15,0.284,kWh
571313115103364037,18-08-2018 kl. 13,18-08-2018 kl. 14,0.157,kWh
571313115103364037,18-08-2018 kl. 12,18-08-2018 kl. 13,0.174,kWh
571313115103364037,18-08-2018 kl. 11,18-08-2018 kl. 12,0.51,kWh
571313115103364037,18-08-2018 kl. 10,18-08-2018 kl. 11,0.126,kWh
571313115103364037,18-08-2018 kl. 09,18-08-2018 kl. 10,0.075,kWh
571313115103364037,18-08-2018 kl. 08,18-08-2018 kl. 09,0.075,kWh
571313115103364037,18-08-2018 kl. 07,18-08-2018 kl. 08,0.112,kWh
571313115103364037,18-08-2018 kl. 06,18-08-2018 kl. 07,0.09,kWh
571313115103364037,18-08-2018 kl. 05,18-08-2018 kl. 06,0.076,kWh
571313115103364037,18-08-2018 kl. 04,18-08-2018 kl. 05,0.082,kWh
